name,major,concentration,minor,certification,licensure,masters,Parent,phone,www
Accounting,X,,X,X,,,x,303-556-3181,http://www.msudenver.edu/acc/
Master of Professional Accountancy,,,,,,X,X,303-556-3188,
African American Studies,X,,X,,X,,x,303-556-3103,http://www.msudenver.edu/aas/
Anthropology,X,,X,,X,,x,303-556-3167,http://www.msudenver.edu/soc/anthropology/index.shtml
Art,X,,X,,,,x,303-556-3090,http://www.msudenver.edu/art/
Art Education,,X,,,X,,,303-556-3090,
"Art History, Theory and Criticism (B.A.)",,X,X,,,,,303-556-3090,
Ceramics,,X,,,,,,303-556-3090,
Communication Design,,X,,,,,,303-556-3090,
Digital Art,,X,,,,,,303-556-3090,
Drawing,,X,,,,,,303-556-3090,
Jewelry Design and Metalsmithing,,X,,,,,,303-556-3090,
Painting,,X,,,,,,303-556-3090,
Photography,,X,,,,,,303-556-3090,
Printmaking,,X,,,,,,303-556-3090,
Sculpture,,X,,,,,,303-556-3090,
Studio Art,,,X,,,,,303-556-3090,
Athletic Training,X,,,,,,x,303-556-3145,http://www.msudenver.edu/hps/majorsconcentrations/athletictrainingmajor/
Aviation Management,X,,X,,,,x,303-556-2983,http://www.msudenver.edu/aviation/
Aerospace Management-,,X,,,,,,303-556-2983,
Space Commercialization Emphasis,,,,,,,,303-556-2983,
Aerospace Management,,X,,,,,,303-556-2983,
Airport Management,,,,X,,,,303-556-2983,
Space Commercialization,,,,X,,,,303-556-2983,
Aviation Technology,X,,X,,,,x,303-556-2983,
Aerospace Operations,,X,,,,,,303-556-2983,
Aerospace Operations-Space Commercialization,,X,,,,,,303-556-2983,
Space Commercialization,,,,,,,,303-556-2983,
Air Traffic Collegiate Training Initiative,,X,,,,,,303-556-2983,
Professional Flight Officer,,X,,,,,,303-556-2983,
Private Pilot,,,X,,,,,303-556-2983,
Behavioral Science,X,,,,X,,x,303-556-7058,http://www.msudenver.edu/soc/
Biology,X,,X,,X,,x,303-556-3213,http://www.msudenver.edu/biology/
Cell and Molecular,,X,,,,,,303-556-3213,
Medical Technology,,X,,,,,,303-556-3213,
School of Business,X,,,,,,x,303-556-3245,http://www.msudenver.edu/business/
International Business,,X,X,X,,,,303-556-3245,
General Business,,,X,,,,,303-556-3245,
Chemistry,X,,X,,X,,x,303-556-2610,http://www.msudenver.edu/chemistry/
Criminalistics,,X,X,,,,,303-556-2610,
Chicano Studies,X,,X,,X,,x,303-556-3124,http://www.msudenver.edu/chs/
Civil Engineering Technology,X,,X,,,,x,303-556-3227,http://www.msudenver.edu/cet/
Construction,,X,,,,,,303-556-3227,
Structures,,X,,,,,,303-556-3227,
Computer Information Systems,X,,X,,,,x,303-556-3122,
Database Specialist,,,,X,,,,303-556-3122,
End User Support Specialist,,,,X,,,,303-556-3122,
Information Systems Analyst,,,,X,,,,303-556-3122,
Network Specialist in Information Systems,,,,X,,,,303-556-3122,
Programmer/Analyst in Information Systems,,,,X,,,,303-556-3122,
Web Developer in Information Systems,,,,X,,,,303-556-3122,
Computer Science,X,,X,,,,x,303-556-3208,http://cs.msudenver.edu/
Advanced Software Engineering Techniques,,,,X,,,,303-556-3208,
Criminal Justice and Criminology,X,,X,,,,x,303-556-2980,http://www.msudenver.edu/cjc/
Digital Media,,,X,,,,x,303-556-3485,http://www.msudenver.edu/cas/academics/speechcommunication/digitalmedia/
Content Design,,X,,,,,,303-556-3485,
Interactive Media,,X,,,,,,303-556-3485,
Motion Media,,X,,,,,,303-556-3485,
Still Media,,X,,,,,,303-556-3485,
Economics,X,,X,,X,,x,303-556-3217,http://www.msudenver.edu/econ/
Electrical Engineering Technology,X,,X,X,,,x,303-556-2503,http://www.msudenver.edu/eet/
Communications,,X,,,,,,303-556-2503,
Computer Engineering Technology,,X,,,,,,303-556-2503,
Engineering Fundamentals,,,,X,,,,303-556-2503,
Network Communications,,,X,X,,,,303-556-2503,
Power and Control Systems,,X,,,,,,303-556-2503,
English,X,,X,,X,,x,303-556-3211,http://www.msudenver.edu/english/
Cinema Studies,,,X,X,,,,303-556-3211,
Elementary School Teaching,,X,,,,,,303-556-3211,
Literature,,X,X,,,,,303-556-3211,
Secondary School Teaching,,X,,,,,,303-556-3211,
Writing,,X,X,,,,,303-556-3211,
